,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
2041,58,58,155,53,-513.617,-516.84,-516.576,-516.827,-519.217,-518.607,-466.284,-454.524,-504.123,12.688,12.841,12.841,12.688,12.688,12.841,12.841,12.841,12.688,12.841,12.688,12.841,12.688,12.688,12.841,12.841,12.688,12.688,12.841,12.841,12.688,12.535,12.841,12.535,12.688,12.535,12.535,12.841,12.688,12.688,12.688,12.841,12.688,12.688,12.688,12.841,12.688,12.688,12.688,12.688,12.841,12.688,12.688,12.841,12.535,12.841,12.994,12.535,12.688,12.841,12.688,12.841,12.688,12.688,12.841,12.688,12.688,12.688,12.535,12.994,12.535,12.994,12.535,12.841,12.688,
2042,58,58,154,53,-513.123,-516.219,-516.282,-516.646,-518.408,-519.06,-466.668,-454.95,-503.655,11.946,12.252,12.099,12.557,12.405,12.405,12.252,12.405,12.557,12.252,12.557,11.946,12.557,11.946,12.252,11.793,11.946,12.557,12.252,12.099,12.099,11.793,12.252,12.405,12.405,12.252,12.252,12.099,12.252,12.557,12.252,11.793,12.099,12.405,12.099,12.252,12.71,11.793,12.252,11.946,12.099,12.557,12.405,12.252,12.405,12.099,12.405,12.099,12.099,12.557,12.252,12.405,12.405,12.252,12.252,12.405,11.488,12.405,12.405,12.252,12.099,12.252,12.405,12.252,12.405,
2043,58,58,153,53,-513.07,-516.177,-516.514,-516.162,-518.551,-517.879,-466.015,-454.753,-503.038,11.624,11.93,11.93,12.235,11.777,11.93,11.624,11.777,12.235,12.082,12.082,11.471,12.235,11.624,11.93,11.777,11.471,12.082,11.624,11.624,11.777,11.624,11.93,12.235,11.777,12.082,11.777,11.777,11.93,12.082,12.082,11.471,11.777,12.082,11.624,11.93,12.235,11.93,11.624,11.471,11.624,12.235,12.082,11.777,12.082,11.624,11.777,11.624,11.624,12.082,11.777,11.93,12.082,12.082,11.777,11.93,11.471,12.082,11.93,11.777,11.777,11.93,12.082,11.93,12.082,
2044,58,58,152,53,-522.8,-523.578,-528.125,-518.342,-525.865,-525.055,-472.677,-461.068,-510.963,9.136,8.829,9.136,8.982,9.595,9.289,9.289,9.289,8.829,8.829,8.982,8.829,9.289,9.289,8.676,9.289,9.289,9.136,8.829,8.982,8.982,8.982,9.289,8.829,9.136,8.676,8.523,8.982,8.982,9.289,8.829,8.982,8.829,9.442,8.829,8.676,8.523,9.289,9.136,9.289,9.136,8.676,9.289,9.136,9.289,9.136,8.829,8.829,9.289,8.829,8.829,9.136,8.829,8.829,9.136,9.136,8.829,9.136,9.289,8.982,9.289,8.829,9.289,8.829,8.829,
2045,58,58,151,53,-527.331,-523.113,-523.826,-532.861,-502.127,-505.976,-465.472,-455.454,-499.583,1.186,1.033,1.339,0.879335,1.493,1.186,1.186,1.186,0.726021,0.879335,0.879335,0.879335,1.186,1.339,0.726021,1.186,1.186,1.186,0.879335,0.879335,1.033,1.033,1.186,0.726021,1.033,0.726021,0.879335,1.033,1.033,1.493,0.879335,1.033,0.879335,1.493,0.879335,0.726021,0.879335,1.186,1.033,1.339,1.339,0.726021,1.186,1.186,1.186,1.186,0.879335,1.033,1.339,0.879335,0.879335,1.339,0.726021,1.033,1.186,1.186,0.879335,1.033,1.186,0.879335,1.186,0.879335,1.033,0.726021,0.879335,
2046,58,58,150,53,-503.678,-508.175,-514.736,-512.835,-521.902,-528.296,-470.383,-456.957,-508.556,13.979,13.673,13.826,13.521,13.979,13.826,13.979,13.826,13.673,13.521,13.673,13.673,13.673,13.826,13.673,13.826,13.673,13.826,13.673,13.673,13.673,13.673,13.979,13.521,13.673,13.673,13.521,13.673,13.826,13.979,13.673,13.521,13.521,13.979,13.521,13.521,13.521,13.673,13.826,13.979,13.826,13.521,13.826,13.826,13.826,13.673,13.521,13.673,13.979,13.673,13.673,13.979,13.368,13.521,13.826,13.826,13.521,13.826,13.826,13.521,13.826,13.673,13.521,13.368,13.521,
2047,19,19,149,53,-516.726,-525.822,-522.74,-522.495,-524.526,-518.39,-460.071,-451.274,-497.459,0.823711,0.365105,0.670843,0.365105,1.129,0.97658,0.97658,0.670843,0.212236,0.365105,0.517974,0.517974,0.97658,0.97658,0.212236,0.670843,0.823711,0.670843,0.517974,0.517974,0.517974,0.517974,1.129,0.365105,0.517974,0.212236,0.212236,0.517974,0.517974,0.97658,0.517974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,58,58,157,54,-512.826,-515.783,-515.537,-516.827,-519.471,-519.702,-464.461,-453.561,-504.074,12.486,12.791,12.639,12.486,12.791,12.639,12.639,12.639,12.791,12.791,12.181,12.486,12.791,12.639,12.791,12.181,12.181,12.333,12.791,12.028,12.333,12.639,12.639,12.791,12.486,12.639,12.333,12.639,12.333,12.181,12.639,12.181,12.181,12.333,12.639,12.639,12.333,12.639,12.639,12.028,12.181,12.639,12.181,12.181,12.639,12.333,12.639,12.791,12.639,12.639,12.486,12.333,12.333,12.639,12.333,12.486,12.486,12.639,12.028,12.181,12.486,12.486,12.639,12.791,12.639,
2049,58,58,156,54,-512.018,-514.53,-523.526,-524.209,-532.122,-525.529,-465.479,-450.499,-501.957,8.515,8.668,8.515,9.127,8.821,8.515,8.668,8.668,9.127,8.821,8.821,8.361,8.821,8.055,8.361,8.208,8.208,8.361,8.668,8.821,8.515,8.208,8.668,8.974,8.515,8.668,8.821,8.361,8.208,8.821,8.361,8.668,8.821,8.974,8.515,8.668,8.208,8.668,8.515,8.515,8.208,8.668,8.208,8.515,8.208,8.515,8.515,8.361,8.361,8.361,8.821,8.361,8.974,8.668,8.974,8.668,8.668,8.515,8.974,8.361,8.974,8.515,8.361,8.208,8.208,
2050,58,58,155,54,-519.354,-527.904,-525.696,-520.831,-517.676,-516.01,-470.196,-457.542,-506.716,10.301,10.301,9.841,10.301,10.301,9.688,10.301,9.994,10.607,10.454,10.301,10.148,10.301,9.994,9.994,9.994,9.688,9.994,10.301,10.301,10.301,9.688,10.148,10.301,10.148,10.301,10.301,9.841,9.688,10.301,9.994,10.148,10.301,10.301,10.148,10.301,9.841,10.301,9.994,10.148,9.688,10.301,9.841,10.454,9.688,9.994,9.994,9.994,9.994,10.148,10.454,9.994,10.301,10.148,10.454,9.994,10.301,10.148,10.454,9.841,10.301,10.148,9.994,9.688,9.841,
2051,58,58,154,54,-518.372,-516.987,-518.217,-518.374,-525.631,-519.862,-470.875,-454.529,-507.617,11.95,11.644,11.797,11.492,11.797,11.797,11.797,11.492,11.644,11.644,11.492,11.492,11.797,11.644,11.492,11.644,11.797,11.644,11.492,11.492,11.492,11.797,11.797,11.492,11.492,11.492,11.492,11.644,11.644,11.644,11.339,11.644,11.492,11.492,11.492,11.339,11.644,11.492,11.492,11.644,11.644,11.492,11.644,11.492,11.644,11.644,11.644,11.644,11.339,11.644,11.492,11.797,11.492,11.492,11.492,11.492,11.644,11.644,11.492,11.644,11.492,11.644,11.492,11.797,11.644,
2052,58,58,153,54,-517.903,-521.548,-518.037,-515.643,-520.773,-513.933,-469.441,-456.522,-506.142,13.026,12.72,12.415,12.72,12.873,12.568,12.72,12.72,13.026,12.873,12.72,12.262,12.873,12.415,12.262,12.415,12.262,12.568,12.568,12.72,12.568,12.415,12.72,13.026,12.262,12.873,12.72,12.568,12.262,13.026,12.262,12.873,12.72,12.72,12.415,12.72,12.568,12.873,12.415,12.873,12.415,12.568,12.415,12.568,12.568,12.568,12.873,12.415,12.415,12.568,12.873,12.873,12.873,12.568,12.873,12.415,12.873,12.415,12.72,12.568,12.873,12.415,12.262,12.568,12.262,
2053,58,58,152,54,-513.519,-516.811,-516.636,-516.442,-517.244,-517.102,-466.224,-454.505,-504.744,14.318,13.86,13.707,14.012,13.86,13.707,13.402,13.707,13.554,13.707,14.012,13.86,13.707,13.554,13.707,13.86,13.707,14.165,13.707,13.86,13.86,13.554,13.554,13.554,13.554,13.554,14.012,13.554,13.707,13.86,13.554,13.554,13.86,13.86,13.402,13.554,14.012,13.402,13.86,14.012,13.402,13.707,13.86,13.707,13.402,13.86,13.554,13.249,13.402,13.402,13.86,13.707,13.707,13.402,13.707,13.86,13.554,13.249,13.707,13.86,13.554,13.707,13.554,13.249,13.402,
2054,58,58,151,54,-512.4,-515.584,-515.385,-515.827,-518.477,-519.285,-468.178,-456.352,-503.678,12.751,12.598,12.598,12.598,12.598,12.598,12.445,12.445,12.445,12.598,12.598,12.598,12.445,12.292,12.445,12.598,12.445,12.751,12.445,12.598,12.598,12.292,12.445,12.445,12.292,12.598,12.598,12.445,12.445,12.598,12.445,12.445,12.445,12.598,12.139,12.445,12.751,12.445,12.598,12.751,12.445,12.598,12.598,12.598,12.292,12.598,12.445,12.292,12.292,12.292,12.598,12.292,12.598,12.292,12.445,12.598,12.445,12.139,12.445,12.445,12.292,12.445,12.292,12.292,12.445,
2055,7,7,150,54,-512.505,-515.508,-515.478,-515.672,-518.552,-518.508,-466.124,-454.202,-504.175,12.371,12.065,12.218,12.371,12.218,11.912,11.912,12.218,12.065,12.218,4997,4997,4996,4996,4997,4997,4997,4997,4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,58,58,149,54,-512.38,-515.593,-515.317,-516.052,-518.369,-519.106,-466.27,-454.098,-504.274,12.254,12.101,12.407,12.407,12.101,11.948,11.795,11.948,11.948,12.101,12.407,12.101,12.101,11.948,12.101,12.254,12.101,12.407,12.101,12.101,12.254,11.795,11.948,11.795,11.948,11.948,12.254,11.948,12.101,12.254,11.948,11.948,12.254,12.254,11.795,11.948,12.254,11.795,12.254,12.407,11.948,12.101,12.101,12.101,11.948,12.407,11.948,11.795,11.795,11.642,12.254,12.407,12.254,11.795,12.254,12.254,12.254,11.642,11.948,12.407,11.948,12.101,11.795,11.795,11.948,
2057,58,58,157,55,-512.942,-516.365,-516.179,-516.609,-518.889,-518.804,-464.144,-452.6,-503.094,12.292,12.292,12.139,12.598,12.139,12.292,12.292,12.445,12.445,12.598,12.139,12.139,12.598,12.445,12.445,12.445,12.139,12.445,12.292,12.445,12.445,12.292,12.751,12.139,12.445,12.445,12.598,12.292,12.445,12.139,12.292,12.139,12.445,12.445,12.445,12.445,12.292,11.833,12.598,12.445,12.139,12.598,12.445,12.598,12.598,12.445,12.139,12.445,12.139,12.139,12.292,12.292,12.598,12.292,12.292,12.139,11.986,12.598,11.986,12.445,12.139,11.986,11.833,12.751,12.139,
2058,58,58,156,55,-513.907,-516.46,-517.107,-517.892,-517.296,-518.48,-466.558,-455.065,-503.56,13.749,13.443,13.749,13.749,13.29,13.596,13.749,13.29,13.596,13.29,13.29,13.749,13.443,13.137,13.29,13.137,13.29,13.443,13.29,13.596,13.137,13.596,12.984,13.29,13.443,13.443,13.29,13.29,13.29,13.137,13.29,13.137,13.596,13.137,13.29,13.749,12.984,13.596,13.29,13.137,13.443,13.596,13.596,13.443,12.984,13.749,13.596,13.596,13.443,13.29,13.596,13.443,13.137,13.29,13.596,13.596,13.596,13.137,13.137,13.443,13.29,13.443,13.749,13.443,13.443,
2059,58,58,155,55,-513.464,-516.688,-516.423,-516.521,-519.064,-518.455,-465.978,-454.524,-503.663,12.688,12.688,12.535,12.535,12.535,12.382,12.382,12.535,12.535,12.535,12.688,12.382,12.535,12.535,12.535,12.535,12.535,12.382,12.382,12.535,12.535,12.382,12.535,12.535,12.535,12.688,12.535,12.535,12.535,12.382,12.535,12.535,12.535,12.535,12.535,12.382,12.535,12.382,12.688,12.535,12.382,12.535,12.382,12.535,12.535,12.382,12.535,12.688,12.535,12.535,12.382,12.382,12.535,12.382,12.535,12.382,12.382,12.688,12.535,12.535,12.688,12.688,12.535,12.535,12.535,
2060,58,58,154,55,-513.123,-516.219,-516.282,-516.951,-516.877,-517.377,-466.668,-455.103,-503.961,12.557,12.71,12.557,12.557,12.405,12.557,12.71,12.099,12.71,12.557,11.946,12.71,12.863,12.252,12.099,12.099,12.099,12.557,12.405,12.863,12.252,12.71,12.252,12.252,12.557,12.252,12.557,12.099,12.71,12.405,12.099,12.405,12.863,12.405,12.405,12.557,11.946,12.557,12.252,12.252,12.557,12.557,12.557,12.405,12.099,12.405,12.557,12.252,12.557,12.099,12.405,12.252,12.252,12.557,12.557,12.863,12.557,11.64,12.252,12.71,12.252,12.405,12.71,12.71,12.557,
2061,58,58,153,55,-512.917,-516.177,-516.362,-516.467,-517.94,-517.879,-466.015,-454.6,-502.885,11.93,11.93,12.235,12.082,11.777,12.082,12.082,11.624,12.388,12.082,11.777,12.235,12.082,11.777,11.624,11.624,11.93,11.777,11.777,12.235,11.624,12.082,11.624,11.624,12.082,12.082,11.93,11.624,11.777,12.082,11.777,11.93,12.235,11.777,11.777,12.082,11.624,12.235,11.624,11.777,12.082,12.235,12.082,11.93,11.471,12.082,12.082,11.93,12.082,11.777,12.082,12.082,11.624,12.082,12.082,12.082,11.93,11.471,11.777,12.082,11.777,11.777,12.082,11.93,12.082,
2062,58,58,152,55,-522.647,-523.578,-527.665,-518.036,-525.865,-525.362,-472.218,-460.608,-509.891,8.982,8.829,9.136,8.523,8.829,8.829,8.829,8.523,8.523,8.829,8.676,8.982,8.676,9.136,8.982,9.136,8.982,8.982,8.829,8.676,8.829,8.982,8.829,8.37,8.829,8.829,8.523,8.829,8.982,8.676,8.829,8.523,8.523,8.523,9.136,8.829,9.136,8.523,8.982,8.676,8.982,8.676,9.289,8.829,8.982,8.829,8.676,9.289,8.982,9.289,8.829,8.676,8.523,8.982,8.523,8.523,8.676,8.982,8.523,9.136,8.523,8.982,9.136,8.829,9.136,
2063,58,58,151,55,-527.331,-523.113,-523.826,-532.707,-501.974,-505.976,-462.719,-452.7,-499.278,1.493,1.033,1.186,0.726021,1.033,1.033,1.186,0.726021,0.726021,1.033,0.879335,1.339,0.879335,1.339,1.186,1.339,1.339,1.186,0.879335,0.879335,1.033,1.339,1.033,0.726021,1.186,1.186,0.879335,0.879335,1.339,1.033,1.033,0.879335,0.879335,0.879335,1.186,0.879335,1.339,0.879335,1.339,1.033,1.339,1.033,1.339,1.186,1.339,1.033,1.033,1.339,1.339,1.339,0.879335,1.186,0.879335,1.186,0.726021,0.879335,1.033,1.033,0.879335,1.186,0.726021,1.339,1.339,1.339,1.339,
2064,58,58,150,55,-503.678,-507.87,-514.583,-512.682,-522.055,-527.837,-470.23,-456.957,-508.709,13.826,13.673,13.826,13.521,13.521,13.673,13.673,13.521,13.673,13.521,13.673,13.826,13.521,13.979,13.826,13.979,13.673,13.826,13.673,13.673,13.673,13.826,13.673,13.521,13.826,13.673,13.521,13.673,13.826,13.521,13.673,13.521,13.521,13.521,13.826,13.521,13.826,13.521,13.826,13.673,13.979,13.673,13.979,13.673,13.826,13.673,13.673,13.826,13.826,13.979,13.673,13.521,13.521,13.826,13.368,13.521,13.673,13.826,13.673,13.673,13.521,13.826,13.826,13.826,13.979,
2065,58,58,149,55,-516.726,-525.516,-522.282,-522.189,-524.373,-518.237,-459.613,-450.664,-498.069,0.670843,0.365105,0.670843,0.212236,0.365105,0.212236,0.517974,0.059368,0.059368,0.365105,0.212236,0.670843,0.365105,0.670843,0.517974,0.823711,0.517974,0.670843,0.212236,0.212236,0.517974,0.670843,0.212236,0.059368,0.517974,0.365105,0.212236,0.212236,0.670843,0.212236,0.517974,0.212236,0.212236,0.059368,0.670843,0.212236,0.670843,0.212236,0.670843,0.517974,0.670843,0.365105,0.97658,0.517974,0.670843,0.365105,0.365105,0.823711,0.823711,0.823711,0.365105,0.365105,0.212236,0.517974,0.212236,0.059368,0.365105,0.670843,0.212236,0.670843,0.059368,0.517974,0.823711,0.517974,0.823711,
2066,58,58,157,56,-512.519,-516.395,-515.689,-517.132,-518.859,-520.161,-464.92,-453.714,-506.062,13.707,13.249,13.707,13.86,13.555,13.402,13.402,13.86,13.555,13.555,13.249,13.707,13.402,13.249,13.249,13.249,13.097,13.707,13.707,13.707,13.249,13.402,13.402,13.097,13.097,13.097,13.249,13.707,13.402,13.097,13.707,13.555,13.555,13.707,13.097,13.097,13.707,13.249,13.097,13.555,13.555,13.097,13.707,13.555,13.402,13.402,13.707,13.555,13.097,13.402,13.402,13.86,13.249,13.249,13.707,13.707,13.249,13.707,13.249,13.402,13.249,13.249,13.097,13.555,13.707,
2067,58,58,156,56,-511.712,-514.377,-522.76,-523.443,-531.51,-524.917,-465.326,-450.194,-503.331,8.208,8.208,8.361,8.515,8.055,7.902,8.055,8.668,8.361,8.055,8.361,8.361,8.055,8.515,8.055,8.668,8.208,8.515,8.515,8.361,8.208,8.208,8.055,8.208,8.668,8.361,8.668,8.208,8.515,8.668,8.208,8.668,8.361,8.668,8.361,8.208,8.208,8.821,8.361,8.515,8.361,8.361,8.208,8.208,8.361,8.821,8.821,8.055,8.515,8.208,8.515,8.515,8.361,8.055,8.208,8.668,8.515,8.208,8.361,8.361,8.668,8.208,8.208,8.515,8.361,
2068,58,58,155,56,-519.354,-528.057,-525.237,-520.984,-517.676,-516.163,-470.501,-457.542,-507.022,10.454,10.301,10.607,10.607,10.454,9.994,10.454,10.76,10.607,10.148,10.607,10.607,10.148,10.454,10.148,10.607,10.301,10.607,10.76,10.454,10.301,10.301,9.841,10.148,10.76,10.454,10.76,10.301,10.76,10.607,10.301,10.76,10.454,10.607,10.607,10.301,10.148,10.913,10.454,10.454,10.148,10.301,10.148,10.301,10.454,10.607,10.76,10.454,10.454,10.301,10.76,10.607,10.454,10.301,10.148,10.607,10.301,10.301,10.301,10.301,10.76,10.301,10.148,10.454,10.148,
2069,58,58,154,56,-518.219,-516.834,-518.523,-518.374,-525.631,-520.168,-470.875,-454.376,-507.617,11.797,11.95,11.797,11.797,11.492,11.644,11.797,11.492,11.492,11.644,11.644,11.797,11.644,11.644,11.644,11.492,11.644,11.492,11.492,11.644,11.492,11.644,11.492,11.644,11.492,11.339,11.492,11.492,11.492,11.339,11.644,11.492,11.644,11.492,11.492,11.644,11.492,11.644,11.492,11.492,11.492,11.492,11.492,11.492,11.492,11.492,11.492,11.644,11.644,11.644,11.492,11.492,11.644,11.339,11.644,11.644,11.492,11.492,11.492,11.186,11.492,11.492,11.492,11.492,11.644,
2070,58,58,153,56,-516.984,-522.007,-517.732,-515.796,-521.232,-515.616,-472.041,-458.816,-506.448,13.179,13.026,13.332,13.485,13.026,12.873,13.179,13.179,13.026,12.873,13.485,13.485,12.873,13.485,13.026,13.485,12.873,13.026,13.332,13.485,12.873,12.873,12.873,13.026,13.332,13.026,13.485,13.026,13.332,13.332,12.873,13.332,13.332,13.485,12.873,12.873,12.873,13.332,13.332,13.332,12.873,12.873,12.873,13.026,13.332,13.332,13.332,12.873,13.332,13.332,13.026,13.485,13.332,12.873,13.179,13.485,13.026,12.873,12.873,12.873,13.332,12.873,12.873,13.485,13.026,
2071,58,58,152,56,-512.755,-516.2,-516.025,-515.526,-517.856,-516.643,-468.67,-456.798,-502.604,12.791,13.096,13.096,12.791,13.096,12.943,13.096,12.791,12.943,12.485,13.096,12.638,13.096,12.943,12.943,13.096,13.249,12.638,12.638,12.791,13.096,13.096,12.943,12.943,13.096,12.943,13.249,12.485,12.638,12.791,12.791,12.791,12.638,12.485,12.791,12.943,12.638,12.943,13.249,12.638,12.638,13.096,12.791,12.485,12.943,13.096,12.638,12.638,12.943,13.096,13.249,12.638,13.096,12.943,12.791,12.791,12.943,12.791,13.096,12.943,12.943,12.943,13.096,12.638,12.485,
2072,58,58,151,56,-512.247,-515.431,-515.385,-515.674,-518.477,-519.132,-465.882,-453.904,-503.984,12.139,12.292,12.292,12.139,12.445,12.139,12.445,12.139,11.986,11.986,12.445,11.986,12.292,12.292,12.139,12.292,12.292,11.986,12.139,12.139,12.292,12.139,12.139,12.292,12.292,11.986,12.292,11.986,11.986,12.139,11.986,12.139,11.986,11.986,11.986,12.292,12.139,11.986,12.445,12.139,12.139,12.292,11.986,11.986,12.139,12.139,12.139,11.986,12.292,12.292,12.292,11.986,12.292,12.139,11.986,11.986,12.139,11.986,12.292,12.139,12.139,12.139,12.445,12.139,11.986,
2073,58,58,150,56,-512.2,-515.356,-515.325,-515.213,-517.328,-515.6,-466.43,-454.202,-503.717,12.218,12.371,12.218,12.065,12.371,12.218,12.524,12.218,11.912,11.912,12.218,11.912,12.218,12.218,12.065,12.371,12.371,12.218,11.912,12.218,12.218,12.371,12.218,12.218,12.371,12.065,12.371,11.912,11.912,12.218,12.065,12.065,12.065,11.912,11.912,12.218,12.218,12.065,12.524,12.065,11.912,12.218,12.065,11.759,12.065,12.218,12.065,11.759,12.218,12.218,12.371,11.912,12.371,12.218,11.912,12.065,12.065,12.065,12.524,12.218,12.218,12.218,12.371,12.065,11.912,
2074,58,58,149,56,-512.075,-515.135,-515.164,-515.593,-518.216,-518.953,-465.963,-453.485,-504.427,12.101,12.254,12.101,11.948,12.407,12.254,12.407,12.101,11.948,11.642,12.407,11.948,12.407,12.254,12.254,12.56,12.407,11.948,11.795,12.101,12.254,12.407,12.407,12.101,12.254,12.254,12.407,11.795,12.101,12.101,11.948,11.948,11.948,11.795,12.101,12.254,12.101,12.101,12.56,12.101,11.948,12.254,12.101,11.642,11.948,12.407,11.795,11.948,12.101,12.254,12.407,11.795,12.254,12.254,11.948,11.948,12.254,11.948,12.407,12.254,12.254,12.254,12.407,11.795,11.795,
2075,58,58,157,57,-512.942,-516.518,-516.179,-517.221,-518.889,-518.498,-466.282,-454.739,-503.552,12.598,12.904,12.445,12.904,12.904,12.445,13.057,12.904,12.598,12.904,12.751,12.904,13.21,12.904,12.598,13.057,12.751,13.057,12.598,12.904,13.057,12.751,12.598,12.751,13.057,13.057,12.751,13.057,12.598,13.057,12.751,12.598,12.751,12.598,12.598,13.057,12.751,12.904,12.598,12.598,12.598,12.904,13.057,13.057,12.598,12.598,12.904,12.904,12.598,12.598,12.904,12.445,13.057,12.751,12.904,12.292,12.751,12.751,12.904,12.904,12.598,12.904,13.057,12.751,12.904,
2076,7,7,156,57,-513.754,-517.224,-516.801,-517.28,-518.978,-520.008,-469.005,-457.053,-504.783,12.832,12.984,12.832,12.526,12.679,13.137,12.679,12.373,12.526,12.22,4996,4996,4997,4997,4997,4997,4996,4996,4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,58,58,155,57,-513.617,-516.688,-516.423,-516.521,-519.217,-518.913,-468.889,-457.129,-503.05,12.382,12.229,12.382,12.382,12.535,12.382,12.382,12.229,12.535,12.535,12.382,12.229,12.382,12.382,12.382,12.382,12.229,12.229,12.229,12.382,12.382,12.229,12.229,12.535,12.229,12.382,12.229,12.229,12.382,12.382,12.382,12.535,12.382,12.229,12.229,12.229,12.382,12.535,12.229,12.382,12.535,12.229,12.229,12.382,12.229,12.382,12.535,12.535,12.229,12.535,12.229,12.382,12.229,12.229,12.382,12.382,12.229,12.382,12.382,12.229,12.229,12.229,12.382,12.229,12.382,
2078,58,58,154,57,-513.123,-516.065,-515.823,-516.799,-518.408,-519.06,-468.808,-457.243,-504.113,12.252,12.405,12.252,11.946,12.252,12.252,12.252,12.099,11.488,11.946,11.793,12.099,12.252,11.946,12.405,12.252,12.252,12.405,12.252,12.252,12.252,11.946,12.405,11.793,12.099,12.252,11.946,12.405,12.099,11.488,12.099,11.946,11.793,12.405,12.099,12.252,11.946,11.793,12.252,12.252,11.793,11.946,11.793,11.946,12.252,12.252,12.252,11.946,12.252,12.099,12.099,11.793,12.252,12.099,11.946,12.252,12.099,11.64,12.099,11.793,11.946,11.946,12.099,12.099,12.252,
2079,58,58,153,57,-513.222,-516.33,-516.209,-516.467,-518.704,-518.337,-466.168,-454.753,-504.261,12.235,12.388,12.082,11.624,12.082,12.082,12.082,11.777,11.471,11.777,11.777,11.777,11.93,11.93,12.235,12.235,12.082,12.082,11.93,12.082,12.235,11.777,12.082,11.624,11.624,12.082,11.624,11.93,11.777,11.471,11.93,11.624,11.624,12.082,11.777,12.235,11.777,11.624,12.082,11.93,11.624,11.777,11.471,11.777,12.235,11.93,11.93,11.777,11.777,11.93,11.777,11.471,11.93,11.93,11.777,12.082,11.777,11.624,11.93,11.624,11.777,11.624,11.777,11.93,12.082,
2080,58,58,152,57,-522.953,-523.272,-528.125,-518.342,-521.883,-522.758,-474.974,-462.752,-510.197,9.595,9.901,9.289,9.136,9.595,9.748,9.595,9.289,9.595,9.901,9.442,9.442,9.748,9.289,9.748,9.289,9.595,9.442,9.136,9.289,9.595,9.901,9.748,9.595,9.289,9.442,9.136,9.442,9.136,8.982,9.595,9.136,9.442,9.136,9.748,9.748,9.748,9.136,9.442,9.289,9.595,9.748,9.595,9.748,9.442,9.289,9.136,9.901,9.289,9.289,9.442,9.136,9.442,9.595,9.442,9.289,9.289,9.748,9.442,9.442,9.442,9.595,9.595,9.289,9.595,
2081,58,58,151,57,-527.024,-523.267,-523.98,-532.861,-501.974,-505.976,-465.013,-454.536,-499.889,1.033,1.493,1.033,0.726021,1.186,1.339,1.186,0.879335,1.033,1.339,1.033,1.033,1.493,0.879335,1.339,0.879335,1.033,0.879335,0.879335,0.879335,1.339,1.339,1.186,1.033,0.879335,1.033,0.879335,1.186,0.726021,0.879335,1.186,0.726021,1.186,0.879335,1.339,1.186,1.339,0.879335,1.033,1.033,1.033,1.186,1.339,1.186,1.033,0.879335,0.726021,1.493,0.879335,1.033,1.186,0.879335,1.033,1.033,0.879335,1.033,0.879335,1.186,1.186,1.033,1.339,1.186,1.186,0.879335,1.033,
2082,58,58,150,57,-503.525,-508.023,-514.736,-512.07,-519.301,-526.919,-473.142,-459.41,-509.782,13.826,14.132,13.826,13.673,13.826,14.132,13.979,13.826,13.979,14.132,13.826,13.826,14.132,13.673,13.979,13.826,13.979,13.826,13.826,13.826,14.132,14.132,13.979,13.826,13.673,13.826,13.673,14.132,13.826,13.826,14.132,13.673,13.826,13.673,13.979,13.979,13.979,13.673,13.826,13.673,13.979,13.979,13.979,13.979,13.979,13.673,13.673,13.979,13.673,13.979,13.826,13.673,13.979,13.979,13.673,13.673,13.673,13.979,13.979,13.826,13.979,13.826,13.979,13.826,13.826,
